yomi,zengo,message
いちごいちえ,一期一会,今この瞬間の出会いを、二度とない奇跡として味わおう。
むしん,無心,余計なことは考えず、ただ今に身を委ねてみよう。
じきしにんしん,直指人心,他人の声より、自分の本当の心に耳を傾けよう。
ふりゅうもんじ,不立文字,知識だけじゃない。感じること、体験することを大事にしよう。
いちにちいっしょう,一日一生,今日を最後の日と思って、本気で生きよう。
ずいしょさしゅ,随所作主,どんな場所でも、どんな状況でも、自分の人生の主人公でいよう。
ほんらいむいちもつ,本来無一物,持ち物や肩書きに縛られず、素の自分で生きよう。
くうそくぜしき,空即是色,目に見える世界だけがすべてじゃない。本質を感じ取ろう。
わけいせいじゃく,和敬清寂,誰とでも和を持ち、清らかな心で穏やかに生きよう。
いちえんそう,一円相,完璧を求めず、ありのままの自分を丸ごと受け入れよう。
かんきゃっか,看脚下,遠くを見すぎず、今、自分の立っている場所を大事にしよう。
はるきたればくさおのずからしょうず,春来草自生,無理に頑張らなくてもいい。自然に芽吹くときを信じよう。
しんげむべっぽう,心外無別法,答えは外に探さなくていい。すでにあなたの中にある。
きっさこ,喫茶去,難しいことは置いといて、まず一息つこう。
みょうじゅたなごころにあり,明珠在掌,あなたが探している宝物は、もうすでにあなたの中にある。
ちそく,知足,今あるものに満ち足りる心を持とう。幸せは「もっと」じゃない。
ふうらいそちく,風来疎竹,風が通り抜ける竹のように、しなやかに生きよう。
むくどく,無功徳,見返りを求めず、ただ純粋に行動しよう。
ずいえん,随縁,流れに逆らわず、縁を受け入れて進もう。
はんしんはんざ,半身半座,すぐに完璧を目指さなくていい。半分でも進めばいい。
ほうげじゃく,放下著,いったん全部手放してみよう。重荷を降ろして、身軽に。
いっけごようをひらく,一華開五葉,たった一つの努力から、多くの花が咲いていく。
じゃくめついらく,寂滅為楽,何もない静けさの中に、本当の安らぎがある。
にちにちこれこうじつ,日日是好日,雨でも晴れでも、どんな日もかけがえのない一日。
りゅうりょくかこう,柳緑花紅,あるがままが美しい。無理に飾らなくていい。
けんこんいってき,乾坤一擲,人生ここぞというときは、腹をくくって賭けてみよう。
むいちもつちゅうむじんぞう,無一物中無尽蔵,何も持たない心の中に、無限の可能性が眠っている。
ざぼう,坐忘,ただ座り、すべてを忘れる時間を持とう。
さんぜさんすいぜすい,山是山水是水,山は山、水は水。そのままで完全だ。自分もそう。
かつざいとうげ,活在当下,「今ここ」に生きる。過去も未来も手放して。
みずきゅうしてつきをながさず,水急不月流,激しく流れる川でも、月は揺るがない。心を静かに保とう。
そうじそくこれしゅぎょう,掃地即是修行,小さな日常の一つ一つが、心を磨く道になる。
ほんらいしょうじょう,本来清浄,あなたは最初から、清らかで尊い存在だ。
こころしずかになればしぜんにすずし,心静自然涼,心が静かになれば、世界も涼やかに見える。
こううんりゅうすい,行雲流水,流れる雲、流れる水のように、力まず生きよう。